file_id,row,column,OD_730_pr_raw,blank_OD_730,OD_730_pr_bc,fl_raw,blank_fl,fl_bc,sample_id,sample_type,sample_vol,blank_vol,strain,induction,timepoint,OD_730_pr,fl
20210930_t6.xls,D,2,0.4358,0.3524,0.0834,11.3333,11.0833,0.25,20210930_6_4,sample,800,0,J23100,+,6,0.0834,0.25
20210930_t6.xls,D,3,0.425,0.3524,0.0726,10.6667,11.0833,-0.4167,20210930_6_4,sample,800,0,J23100,+,6,0.0726,-0.4167
20210930_t6.xls,E,1,0.4293,0.3524,0.0769,10.3333,11.0833,-0.75,20210930_6_5,sample,800,0,Prha,-,6,0.0769,-0.75
20210930_t6.xls,E,2,0.433,0.3524,0.0806,11.3333,11.0833,0.25,20210930_6_5,sample,800,0,Prha,-,6,0.0806,0.25
20210930_t6.xls,E,3,0.4328,0.3524,0.0804,10.3333,11.0833,-0.75,20210930_6_5,sample,800,0,Prha,-,6,0.0804,-0.75
20210930_t6.xls,F,1,0.425,0.3524,0.0726,11,11.0833,-0.0833,20210930_6_6,sample,800,0,Prha,+,6,0.0726,-0.0833
20210930_t6.xls,F,2,0.4393,0.3524,0.0869,10.6667,11.0833,-0.4167,20210930_6_6,sample,800,0,Prha,+,6,0.0869,-0.4167
20210930_t6.xls,F,3,0.4333,0.3524,0.0808,11.3333,11.0833,0.25,20210930_6_6,sample,800,0,Prha,+,6,0.0808,0.25
20210930_t6.xls,G,1,0.428,0.3524,0.0755,11.6667,11.0833,0.5833,20210930_6_7,sample,800,0,petE,-,6,0.0755,0.5833
20210930_t6.xls,G,2,0.4236,0.3524,0.0712,11.3333,11.0833,0.25,20210930_6_7,sample,800,0,petE,-,6,0.0712,0.25
20210930_t6.xls,G,3,0.4348,0.3524,0.0823,11.6667,11.0833,0.5833,20210930_6_7,sample,800,0,petE,-,6,0.0823,0.5833
20210930_t6.xls,H,1,0.4147,0.3524,0.0622,11.6667,11.0833,0.5833,20210930_6_8,sample,800,0,petE,+,6,0.0622,0.5833
20210930_t6.xls,H,2,0.4079,0.3524,0.0555,11.6667,11.0833,0.5833,20210930_6_8,sample,800,0,petE,+,6,0.0555,0.5833
20210930_t6.xls,H,3,0.4096,0.3524,0.0571,11,11.0833,-0.0833,20210930_6_8,sample,800,0,petE,+,6,0.0571,-0.0833
20210930_t7.xls,A,1,0.4299,0.3488,0.0811,11.3333,11.4167,-0.0833,20210930_7_1,sample,800,0,EVC,-,7,0.0811,-0.0833
20210930_t7.xls,A,2,0.423,0.3488,0.0741,11,11.4167,-0.4167,20210930_7_1,sample,800,0,EVC,-,7,0.0741,-0.4167
20210930_t7.xls,A,3,0.4235,0.3488,0.0747,11.6667,11.4167,0.25,20210930_7_1,sample,800,0,EVC,-,7,0.0747,0.25
20210930_t7.xls,B,1,0.4129,0.3488,0.064,11.6667,11.4167,0.25,20210930_7_2,sample,800,0,EVC,+,7,0.064,0.25
20210930_t7.xls,B,2,0.4386,0.3488,0.0898,11.6667,11.4167,0.25,20210930_7_2,sample,800,0,EVC,+,7,0.0898,0.25
20210930_t7.xls,B,3,0.4476,0.3488,0.0988,11.6667,11.4167,0.25,20210930_7_2,sample,800,0,EVC,+,7,0.0988,0.25
20210930_t7.xls,C,1,0.4344,0.3488,0.0856,11,11.4167,-0.4167,20210930_7_3,sample,800,0,J23100,-,7,0.0856,-0.4167
20210930_t7.xls,C,2,0.4496,0.3488,0.1008,12,11.4167,0.5833,20210930_7_3,sample,800,0,J23100,-,7,0.1008,0.5833
20210930_t7.xls,C,3,0.4472,0.3488,0.0984,10.6667,11.4167,-0.75,20210930_7_3,sample,800,0,J23100,-,7,0.0984,-0.75
20210930_t7.xls,D,1,0.4292,0.3488,0.0803,11.3333,11.4167,-0.0833,20210930_7_4,sample,800,0,J23100,+,7,0.0803,-0.0833
